year,name,sex,births
1993,Abarna,female,1
1993,Abetare,female,1
1993,Abir,female,1
1993,Abirami,female,1
1993,Adelaide,female,1
1993,Adelina,female,1
1993,Adina,female,1
1993,Admira,female,1
1993,Adriana,female,1
1993,Afsane,female,1
1993,Aida,female,2
1993,Aileen,female,1
1993,Airê,female,1
1993,Aisha,female,1
1993,Ajantha,female,1
1993,Ajanthan,female,1
1993,Ajne,female,1
1993,Alara,female,1
1993,Alba,female,1
1993,Albana,female,1
1993,Albineta,female,1
1993,Albulena,female,1
1993,Aleksandra,female,4
1993,Alena,female,2
1993,Alessa,female,1
1993,Alessandra,female,4
1993,Alessia,female,2
1993,Alexandra,female,10
1993,Alice,female,7
1993,Alicia,female,1
1993,Alida,female,1
1993,Alina,female,2
1993,Aline,female,5
1993,Alix,female,2
1993,Almedina,female,2
1993,Almira,female,1
1993,Amanda,female,1
1993,Ambra,female,1
1993,Amelie,female,1
1993,Amelita,female,1
1993,Amina,female,2
1993,Amna,female,1
1993,Ana,female,4
1993,Ana Maria,female,1
1993,Anais,female,1
1993,Anaîs,female,1
1993,Anaïs,female,1
1993,Andela,female,1
1993,Andjela,female,1
1993,Andrea,female,8
1993,Andreia,female,1
1993,Andriana,female,1
1993,Andrijana,female,2
1993,Andrina,female,1
1993,Angel,female,1
1993,Angela,female,6
1993,Angelika,female,1
1993,Anica,female,1
1993,Anika,female,1
1993,Anina,female,3
1993,Anita,female,2
1993,Anja,female,8
1993,Anjushka,female,1
1993,Anka,female,1
1993,Ann,female,1
1993,Anna,female,20
1993,Anna Maria,female,2
1993,Anna-Lena,female,1
1993,Anna-Marina,female,1
1993,Annabelle,female,1
1993,Annalena,female,1
1993,Anne,female,2
1993,Anne-Joséphine,female,1
1993,Anne-Sophie,female,1
1993,Anneliese,female,1
1993,Annette,female,1
1993,Annika,female,2
1993,Annikka,female,1
1993,Annina,female,5
1993,Anouk,female,1
1993,Antea,female,1
1993,Anthea,female,1
1993,Antonija,female,1
1993,Anuschija,female,1
1993,Apila,female,1
