"year","name","sex","births"
2025,"Emma","female",19
2025,"Sofia","female",19
2025,"Sophia","female",19
2025,"Finn","male",22
2025,"Louis","male",22
2024,"Emma","female",23
2024,"Matteo","male",23
2023,"Sofia","female",26
2023,"Leo","male",28
2022,"Anna","female",21
2022,"Leon","male",30
2021,"Olivia","female",28
2021,"Noah","male",27
2020,"Sofia","female",24
2020,"Leo","male",23
2019,"Sophie","female",26
2019,"Louis","male",23
2018,"Emilia","female",25
2018,"Emma","female",25
2018,"Sophia","female",25
2018,"Leo","male",26
2017,"Emma","female",28
2017,"Liam","male",28
2016,"Emma","female",29
2016,"Louis","male",30
2015,"Emma","female",25
2015,"Leon","male",27
2014,"Emma","female",32
2014,"David","male",26
2013,"Anna","female",31
2013,"David","male",24
2012,"Anna","female",29
2012,"Noah","male",20
2011,"Sophie","female",28
2011,"Luis","male",27
2010,"Emma","female",28
2010,"Julian","male",25
2009,"Lara","female",23
2009,"David","male",22
2008,"Emma","female",25
2008,"David","male",22
2007,"Emma","female",27
2007,"David","male",25
2006,"Anna","female",26
2006,"Luca","male",17
2005,"Lara","female",20
2005,"David","male",20
2004,"Anna","female",22
2004,"Mia","female",22
2004,"David","male",27
2003,"Sara","female",18
2003,"David","male",21
2002,"Anna","female",24
2002,"David","male",19
2001,"Anna","female",20
2001,"Laura","female",20
2001,"Sarah","female",20
2001,"David","male",24
2000,"Laura","female",26
2000,"Noah","male",24
1999,"Laura","female",21
1999,"David","male",22
1998,"Laura","female",31
1998,"David","male",21
1998,"Jan","male",21
1997,"Laura","female",27
1997,"Luca","male",27
1996,"Sara","female",19
1996,"David","male",27
1995,"Laura","female",28
1995,"Luca","male",23
1994,"Sarah","female",23
1994,"David","male",29
1993,"Laura","female",31
1993,"Michael","male",22
1993,"Simon","male",22
