year,name,births
1993,Adrian,10
1994,Adrian,10
1995,Adrian,7
1996,Adrian,8
1997,Adrian,5
1998,Adrian,14
1999,Adrian,7
2000,Adrian,4
2001,Adrian,2
2002,Adrian,4
2003,Adrian,6
2004,Adrian,6
2005,Adrian,3
2006,Adrian,5
2007,Adrian,4
2008,Adrian,3
2009,Adrian,5
2010,Adrian,6
2011,Adrian,6
2012,Adrian,1
2013,Adrian,7
2014,Adrian,7
2015,Adrian,5
2016,Adrian,5
2017,Adrian,7
2018,Adrian,8
2019,Adrian,8
2020,Adrian,6
2021,Adrian,3
2022,Adrian,8
2023,Adrian,7
2024,Adrian,7
2025,Adrian,4
1993,Christian,8
1994,Christian,14
1995,Christian,9
1996,Christian,13
1997,Christian,11
1998,Christian,3
1999,Christian,4
2000,Christian,11
2001,Christian,6
2002,Christian,7
2003,Christian,2
2004,Christian,6
2005,Christian,4
2006,Christian,4
2007,Christian,6
2008,Christian,6
2009,Christian,1
2010,Christian,4
2011,Christian,2
2012,Christian,2
2013,Christian,5
2014,Christian,2
2015,Christian,4
2016,Christian,4
2017,Christian,4
2018,Christian,3
2019,Christian,2
2020,Christian,3
2021,Christian,2
2022,Christian,3
2023,Christian,2
2024,Christian,3
2025,Christian,2
